Date/Time,OAT,AHU1,AHU2,AHU3,AHU4
 07/01  01:00:00,23.2,21,21.3,19.7,20.5
 07/01  02:00:00,22.2,21.2,21.6,20.6,20.7
 07/01  03:00:00,21.2,21.4,21.7,20.8,20.8
 07/01  04:00:00,20.1,21.5,21.8,21.1,21
 07/01  05:00:00,19.6,21.5,21.8,19.6,19.4
 07/01  06:00:00,19.1,18.1,18.7,17.2,17.6
 07/01  07:00:00,18.3,13.5,13.3,13.9,13.6
 07/01  08:00:00,17.4,12.2,12,11.9,12.9
 07/01  09:00:00,20.8,15.9,13.4,10.8,12.4
 07/01  10:00:00,19.9,17.9,17,11.1,12.2
 07/01  11:00:00,22,13.3,14.6,11.6,12.4
 07/01  12:00:00,23.1,17.2,16.1,11.9,12.2
 07/01  13:00:00,24.3,14.1,15.5,12.2,12.7
 07/01  14:00:00,25.5,15.3,14.3,12.9,12.5
 07/01  15:00:00,26.6,14.8,15.6,13,12.6
 07/01  16:00:00,27.8,12.8,13.5,13,12.8
 07/01  17:00:00,28.9,14.5,13.9,13.2,12.9
 07/01  18:00:00,30.1,17,16.8,15.8,15.7
 07/01  19:00:00,31.6,20.8,21.2,21.8,22
 07/01  20:00:00,30.8,23,23.1,21.6,22.2
 07/01  21:00:00,32.7,23.1,23.3,21.1,21.8
 07/01  22:00:00,33.3,23,23.2,20.9,21.2
 07/01  23:00:00,31.4,23.1,23.2,21.1,21.4
 07/01  24:00:00,30.1,23.1,23.2,21.7,21.8
 07/02  01:00:00,28.6,23.2,23.2,21.9,21.9
 07/02  02:00:00,27.1,23.1,23.2,22,22
 07/02  03:00:00,25.7,23.1,23.2,22.1,22.1
 07/02  04:00:00,24.9,23.1,23.1,22.2,22.2
 07/02  05:00:00,24,23.1,23.1,21.9,22.1
 07/02  06:00:00,23,22.3,22.4,19.8,20.5
 07/02  07:00:00,21.9,18.5,18.7,17.6,17.8
 07/02  08:00:00,21.1,12.3,12.1,12.5,13.1
 07/02  09:00:00,20,16.7,13.4,10.9,12.6
 07/02  10:00:00,18.8,18.7,17.5,10.8,12
 07/02  11:00:00,17.8,17.9,19.5,15.4,17.7
 07/02  12:00:00,16.7,16.6,16.2,15.3,16.4
 07/02  13:00:00,19.3,12.9,13.1,13.1,15.1
 07/02  14:00:00,20.5,16.2,16.6,18.7,20.1
 07/02  15:00:00,21.5,13.7,13.9,14.1,14.7
 07/02  16:00:00,22.9,15.5,16.1,19.1,20
 07/02  17:00:00,24.2,16.8,17,20,20.3
 07/02  18:00:00,25.4,13.2,13.5,15.7,15.7
 07/02  19:00:00,26.9,12.4,12.7,14.4,15.1
 07/02  20:00:00,28.1,12.5,11.4,11.7,13.4
 07/02  21:00:00,29.5,16.3,16,12.4,13.7
 07/02  22:00:00,30.7,17.8,17.7,17.1,17.3
 07/02  23:00:00,31.7,19.5,19.6,19.1,19.8
 07/02  24:00:00,33,20.5,20.4,20.9,21.1
 07/03  01:00:00,31.7,20.8,20.8,21.5,21.6
 07/03  02:00:00,30.5,21.1,21.3,21.8,21.7
 07/03  03:00:00,28.9,21.2,21.4,21.8,21.7
 07/03  04:00:00,27.5,21.3,21.6,21.7,21.6
 07/03  05:00:00,26.4,21.4,21.6,21.6,21.7
 07/03  06:00:00,25.3,21.5,21.7,21.7,21.8
 07/03  07:00:00,24,21.5,21.7,21.8,21.9
 07/03  08:00:00,22.7,21.5,21.6,21.9,22
 07/03  09:00:00,21.4,21.5,21.6,21.9,22.1
 07/03  10:00:00,20.4,21.6,21.6,21.9,22.1
 07/03  11:00:00,19.4,21.6,21.6,21.9,22.2
 07/03  12:00:00,21.2,21.6,21.6,22,22.2
 07/03  13:00:00,22.4,21.6,21.5,21.1,22.1
 07/03  14:00:00,23.7,21.7,21.6,19.6,21.6
 07/03  15:00:00,24.6,21.8,21.6,19.2,21.4
 07/03  16:00:00,25.6,21.6,21.1,19.1,21.3
 07/03  17:00:00,26.6,21.3,20.6,19.4,21.7
 07/03  18:00:00,27.8,21.4,20.7,20,22.3
 07/03  19:00:00,28.8,21.6,20.8,20.7,23.2
 07/03  20:00:00,30,21.7,20.9,22.8,25.1
 07/03  21:00:00,30.5,21.9,21.1,24.2,25.9
