Month,Day,Hour,Temp,RH,Solar,Wind,Week,Holiday,Semester,PreElec,Elec
1,1,1,6.087025812,83.6923,0,2.071851584,1,1,0,20.87,24.87
1,1,2,5.583257736,83.0189,0,1.864067392,1,1,0,24.87,26.13
1,1,3,5.352994872,83.9231,0,2.01168,1,1,0,26.13,27.25
1,1,4,5.257898376,83.9808,0,1.831165248,1,1,0,27.25,28.25
1,1,5,5.181758952,84.1509,0,1.4338808,1,1,0,28.25,26.25
1,1,6,5.047242636,84.549,0,1.58654496,1,1,0,26.25,27.88
1,1,7,4.590111624,84.75,1.3462,1.779576832,1,1,0,27.88,23.87
1,1,8,4.327390608,84.1509,32.4717,1.897818912,1,1,0,23.87,21.12
1,1,9,4.773804096,82.0196,130.8235,1.428784544,1,1,0,21.12,23.62
1,1,10,6.139924488,75.8824,288.7647,1.849538592,1,1,0,23.62,20.75
1,1,11,7.229089392,70.5849,137.6981,1.653198624,1,1,0,20.75,17.25
1,1,12,7.196086752,71.5962,126.0577,1.530262624,1,1,0,17.25,18.25
1,1,13,7.378995828,70.8679,143.3396,1.6953992,1,1,0,18.25,17.87
1,1,14,7.446106752,68.9615,104.2308,2.21798896,1,1,0,17.87,18.13
1,1,15,7.307712348,69.9811,116.3585,2.243649056,1,1,0,18.13,20.12
1,1,16,7.242351564,67.4444,66.1481,2.541511808,1,1,0,20.12,21.12
1,1,17,6.959678952,66,10.3774,1.956872896,1,1,0,21.12,19.75
1,1,18,6.553985388,63.4528,0,2.336409856,1,1,0,19.75,19
1,1,19,6.054951024,62.5294,0,2.182628096,1,1,0,19,20.63
1,1,20,5.681798952,61.3208,0,2.226750944,1,1,0,20.63,20.12
1,1,21,5.23836348,61.9811,0,1.864067392,1,1,0,20.12,23.12
1,1,22,4.83585906,62.9423,0,1.80537104,1,1,0,23.12,25.62
1,1,23,4.4448,64.7925,0,1.577291232,1,1,0,25.62,23.75
1,2,0,3.943693248,68.5385,0,1.590434208,0,0,0,23.75,22.5
1,2,1,3.705746436,67.283,0,1.6953992,0,0,0,22.5,23.87
1,2,2,3.351423648,65.9245,0,1.939974784,0,0,0,23.87,27.5
1,2,3,2.809591416,68.4118,0,1.533973056,0,0,0,27.5,31.5
1,2,4,2.640733464,68.5294,0,1.779398016,0,0,0,31.5,31.25
1,2,5,2.560999308,69.1887,0,2.083385216,0,0,0,31.25,30.38
1,2,6,2.304167652,71.8679,0,1.4338808,0,0,0,30.38,31.75
